Symbol,Name,Sector,Price,Dividend Yield,Price/Earnings,Earnings/Share,Book Value,52 week low,52 week high,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
HAR,Harman International,Consumer Discretionary,97,1.39,20.04,4.84,33.34,84.41,149.12,6.9,0.70334,1.16,3.02,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HAR
ARG,Airgas,Materials,92.09,2.58,19.07,4.83,28.46,91.91,119,6.87,0.97654,1.31,3.29,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ARG
PHM,PulteGroup,Consumer Discretionary,19.47,1.56,13.95,1.4,12.98,16.56,23.36,6.87,0.78716,1.22,1.56,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PHM
PNW,Pinnacle West Capital,Utilities,61.87,3.85,17.74,3.49,39.64,54.13,73.31,6.86,1.31,1.99,1.57,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PNW
GRMN,Garmin Ltd,Consumer Discretionary,35.75,5.63,25.57,1.4,16.8,35.35,60.19,6.83,0.70755,2.43,2.17,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GRMN
AN,AutoNation,Consumer Discretionary,59.68,,15.39,3.88,20.15,46.16,67.5,6.77,0.981,0.34,3.02,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AN
RHI,Robert Half International,Industrials,50.48,1.57,20.18,2.5,7.66,45.3,63.27,6.69,0.6003,1.38,6.69,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RHI
SNI,Scripps Networks Interact,Consumer Discretionary,51.3,1.74,11.92,4.3,10.76,51.2,82.78,6.59,1.23,2.5,4.88,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SNI
WYNN,Wynn Resorts,Consumer Discretionary,64.51,2.92,20.94,3.08,-2.06,63.95,192.45,6.53,1.26,1.45,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WYNN
URI,United Rentals,Industrials,66.45,,11.46,5.8,15.22,56.66,119.35,6.34,1.81,1.1,4.44,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=URI
TE,TECO Energy,Utilities,26.665,3.38,69.08,0.386,10.86,16.98,26.87,6.27,0.8934,2.28,2.46,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TE
IRM,Iron Mountain,Financials,29.4099,6.33,56.1258,0.524,3.362,26.49,41.53,6.2,0.91113,2.0515,8.8846,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IRM
FLR,Fluor Corp,Industrials,42.7,1.94,11.37,3.76,21.44,41.88,69.69,6.19,1.35,0.31,2.03,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FLR
POM,Pepco Holdings,Utilities,23.23,4.61,26.7,0.87,17.04,21.61,27.65,5.89,1.27,1.19,1.36,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=POM
RRC,Range Resources,Energy,35.46,0.5,17.77,2,20.36,32.82,74.64,5.89,1.34,3.85,1.76,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RRC
XYL,Xylem,Industrials,32.305,1.75,17.35,1.862,11.46,29.9,39.23,5.86,0.609,1.574,2.847,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XYL
LEG,Leggett & Platt,Consumer Discretionary,42.73,2.94,27.98,1.53,8.04,32.64,51.28,5.85,0.4808,1.53,5.43,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LEG
AIV,Apartment Investment & Mgmt,Financials,36.38,3.31,17.56,2.07,9.4,31.51,41.55,5.69,0.54794,6.02,3.89,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIV
FTR,Frontier Communications,Telecommunication Services,4.86,8.42,,-0.03,5.18,4.19,8.46,5.68,2.19,1.11,0.95,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FTR
NI,NiSource,Utilities,17.34,3.56,13.24,1.31,20.48,14.77,19.32,5.51,1.72,0.91,0.85,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NI
FLS,Flowserve Corp,Industrials,41,1.72,14.33,2.86,13.34,40.48,73.19,5.47,0.83993,1.16,3.1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FLS
CHK,Chesapeake Energy,Energy,8.23,0,,-33.88,8.89,6.01,24.52,5.46,5.01,0.34,0.97,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHK
SWN,Southwestern Energy,Energy,14.23,0,,-0.66,16.27,14.07,37.26,5.44,2.07,1.53,0.88,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SWN
NFX,Newfield Exploration,Energy,33.26,,,-5.71,20.21,22.31,40.27,5.36,2.1,2.82,1.67,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NFX
AVY,Avery Dennison Corp,Materials,57.82,2.5,20.05,2.88,11.98,40.58,64.81,5.29,0.6896,0.86,4.9,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVY
NRG,NRG Energy,Utilities,15.97,3.23,59.15,0.27,28.38,15.65,33.92,5.28,3.15,0.34,0.58,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NRG
ADT,ADT Corp (The),Industrials,30.9,2.8,18.14,1.7,17.95,29.61,42.88,5.25,1.8,1.51,1.76,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADT
PKI,PerkinElmer,Health Care,46.05,0.59,31.98,1.44,18.71,38.96,54.45,5.22,0.35006,2.37,2.5,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PKI
TGNA,TEGNA,Consumer Discretionary,22.97,2.41,5.2,4.42,14.87,22.06,38.48,5.2,1.5,0.87,1.59,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TGNA
RIG,Transocean Ltd,Energy,14.195,0,,-8.526,36.694,11.26,33.73,5.16,3.43,0.633,0.391,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RIG
HP,Helmerich & Payne,Energy,47.67,5.58,8.52,5.59,46.64,47.02,100.22,5.14,1.52,1.45,1.03,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HP
AIZ,Assurant,Financials,75.75,2.65,19.79,3.83,72.06,59.73,80.08,5.06,0.62933,0.48,1.06,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIZ
PWR,Quanta Services,Industrials,24.47,,20.44,1.2,20.37,21.35,37.11,5,0.65043,0.63,1.22,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PWR
FMC,FMC Corp,Materials,36.82,1.75,5.94,6.2,16.24,36.72,64.72,4.92,0.8074,1.24,2.31,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FMC
MUR,Murphy Oil,Energy,27.03,5.1,9,3,45.53,25.77,58.4,4.67,2.29,1.16,0.61,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MUR
HCBK,Hudson City Bancorp,Financials,9.28,1.72,39.49,0.23,9.62,8.53,10.77,4.65,0,9.97,0.99,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HCBK
PBCT,People's United Financial,Financials,15.275,4.4,18.628,0.82,15.51,13.61,16.95,4.61,0,3.839,0.998,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PBCT
JEC,Jacobs Engineering Group,Industrials,37.17,,13.28,2.8,35.06,36.82,51.59,4.6,0.8402,0.38,1.08,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JEC
